STATION_NAME ELEVATION LATITUDE LONGITUDE DATE PRCP SNWD SNOW
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231206
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231207
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231208
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231209
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231210
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231211
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231212
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231213
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231214
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231215
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231216
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231217
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231218
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231219
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231220
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231221
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231222
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231223
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231224
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231225
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231226
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231227
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231228
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231229
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231230
DEMOPOLIS LOCK AND DAM AL 32.51936 -87.87945 20231231
GUNTERSVILLE NUMBER 2 AL US -86.3294 20231201 -9999
GUNTERSVILLE NUMBER 2 AL US -86.3294 20231202 -9999
GUNTERSVILLE NUMBER 2 AL US -86.3294 20231203 -9999
GUNTERSVILLE NUMBER 2 AL US -86.3294 20231204 -9999
