STATION STATION_NAME ELEVATION LATITUDE LONGITUDE DATE MDPR DAPR SNOW
----------------- -------------------------------------------------- ---------- ---------- ---------- -------- -------- -------- --------
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 0.87
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 -9999
GHCND:USC00010748 BERRY 3 NW AL US 150.3 33.69709 -9999
GHCND:USC00010748 BERRY 3 NW AL US 150.3 33.69709 -9999
GHCND:USC00010748 BERRY 3 NW AL US 150.3 33.69709 -9999
GHCND:USC00010748 BERRY 3 NW AL US 150.3 33.69709 -9999
GHCND:USC00010748 BERRY 3 NW AL US 150.3 33.69709 -9999
GHCND:USC00010748 BERRY 3 NW AL US 150.3 33.69709 -9999
GHCND:USC00010748 BERRY 3 NW AL US 150.3 33.69709 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 -9999
